フィーチャID,形状(WKT),名称,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
55,POINT(136.922089378806 34.8073557351823),潮干狩り（上村）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
56,POINT(137.698230869273 35.1435790432979),湯～らんどパルとよね,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
57,POINT(137.659420954436 35.2229251274343),茶臼山高原,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
58,POINT(137.591007440074 35.1895607597471),面ノ木ビジターセンター,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
59,POINT(137.020185942097 34.5836304250503),「道の駅」伊良湖クリスタルポル,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
60,POINT(137.272282111615 34.6615917877409),「道の駅」田原めっくんはうす,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
61,POINT(137.108360772629 35.1865401149079),２００５年記念と長久手,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
62,POINT(136.947683435118 34.998339166823),あいち健康の森,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
63,POINT(137.424691099851 34.8750391824861),ウォーキングセンター及び本宮山,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
64,POINT(137.476903768092 34.8959308103051),グリーンセンターしんしろ,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
65,POINT(137.555042184116 34.9248961833028),こんたく長篠,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
66,POINT(137.626294356423 34.995160500464),愛知県民の森,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
67,POINT(137.613243677623 34.9702746394818),湯谷温泉,"","",システム管理者,2015/01/26 15:48:17,システム管理者,""
